Cell-Cell contact name,Contact mean value,Normality test P-value,Contact Time Point,Relative Contact Area
ABalpappp->MSaapaa,2507.40826114,0.0131738717034,21.8681318681,0.137707628812
Cappa->Capap,1499.12940088,1.74507743612e-11,25.4175824176,0.106939251766
ABprpapppp->ABprpppppa,2097.29849027,0.115420373896,15.1098901099,0.166057540403
MSaa->ABalpap,7840.59473727,0.00487331410009,6.58241758242,0.1635133349
ABalpppp->MSapaa,3314.24139089,0.545986313096,13.0769230769,0.119755918722
MSaapp->MSaapap,3633.13778454,0.389871231473,6.68131868132,0.191549737084
Ealp->MSappap,1422.7909951,0.0796689352438,16.6373626374,0.0975874743517
Caaapp->Cpapaa,2950.97410778,0.132369831289,13.978021978,0.240560762085
ABalpap->ABalaap,2981.55180724,1.1378262976e-08,9.17582417582,0.0948345109267
ABprppaaa->ABprpaaapp,1700.6427053,0.0195847855702,9.97802197802,0.130779705584
ABplpapap->ABplppaap,1725.75509314,0.0819172759064,17.2087912088,0.126643714418
Eplp->Caaapp,1592.71336264,0.0985837341373,14.1318681319,0.125384929915
ABarpaapa->ABplaaapa,1630.75071051,0.517551766641,21.3626373626,0.101369769409
ABarpaapa->ABarpapap,1895.24162357,0.0926007184509,21.9230769231,0.125671583365
ABarpaapa->ABplaaaap,1348.27382871,0.143187331042,11.6703296703,0.102592721251
Capa->ABplappp,4125.43926353,0.0632757975319,24.978021978,0.15280214685
ABalpaapa->ABalpaaaa,1572.16725821,0.939086458582,17.3846153846,0.100725866882
ABaraaaap->MSpaaaa,1557.18615985,0.0182273916811,21.4175824176,0.0992022031807
Caaa->ABarpppp,3620.54994417,0.711041893143,16.956043956,0.136952056405
ABaraapppa->ABaraappap,1391.19992175,0.0762095782789,16.7362637363,0.108555783312
Eplp->Dap,2860.64726801,0.64706983614,26.8791208791,0.147915483776
Eplp->Z2,1272.79287793,0.534432945157,31.4945054945,0.0891974449831
ABplapapp->Cappa,1876.78215183,0.672309569162,17.0659340659,0.11960517883
MSa->ABplpa,8524.7942224,0.363723680407,6.40659340659,0.118195972159
ABplpap->ABplppa,4325.80352583,0.429840430529,17.4395604396,0.100573942903
